,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0.9975403436288985,178,0.9975439889190654,273,0.997541971916031,115
1,1,0.9975410530565457,107,0.9975438610218623,83,0.9975419746073985,88
2,2,0.9975437320380853,45,0.997541852970555,210,0.9975415901122417,116
3,3,0.9975433792371295,338,0.9975434286021219,111,0.9975437764949503,83
4,4,0.9975433420577342,170,0.9975438129105034,102,0.9975436681316586,162
5,5,0.9975440930768603,103,0.997542599887388,137,0.9975420883720882,60
6,6,0.9975407107156145,903,0.9975439020322957,88,0.997543868358667,283
7,7,0.9975400065452714,60,0.9975435758949439,376,0.9975441218452901,194
8,8,0.9975406433969207,362,0.9975417652929855,82,0.9975418830835314,60
9,9,0.9975407745142252,95,0.9975404595152424,53,0.9975412039518262,343
10,10,0.9975423528890442,154,0.9975434551283272,72,0.9975441295565742,114
11,11,0.9975413283719169,146,0.9975409404617857,51,0.9975441177844938,67
12,12,0.997540415825832,263,0.9975434944653224,39,0.9975428831193363,214
13,13,0.9975433962114892,124,0.9975412962183352,62,0.9975440552325001,286
14,14,0.9975400465141588,140,0.9975407488641679,94,0.9975440891135618,210
15,15,0.9975422168157133,123,0.997543820922925,108,0.9975425780686593,47
16,16,0.9975435540737013,108,0.997542844992187,109,0.9975429691174842,155
17,17,0.9975441064232848,102,0.9975432386719498,47,0.9975437784621171,108
18,18,0.9975419555334555,131,0.9975420314609871,96,0.9975439616963654,92
19,19,0.997540006527649,121,0.9975429197134096,234,0.9975414473727975,53
20,20,0.9975436424167972,608,0.9975440677488123,194,0.9975402676602443,193
21,21,0.9975433251811732,155,0.9975417879525856,190,0.9975430610510045,153
22,22,0.9975415183920668,387,0.9975433020599326,123,0.9975418174074631,109
23,23,0.9975441386006811,110,0.9975440375168606,82,0.9975440741615023,191
24,24,0.9975416087563973,87,0.9975416107059167,46,0.9975440126141795,241
25,25,0.9975438914399423,95,0.997543981594923,74,0.9975432065377117,181
26,26,0.9975439262166206,151,0.9975404766263393,124,0.9975441062858375,37
27,27,0.9975409979136044,375,0.9975426404933512,69,0.9975432439074625,87
28,28,0.9975411095256241,164,0.9975432713311354,87,0.9975409596637697,168
29,29,0.9975435626894045,671,0.9975426852609695,76,0.9975441370744995,170
30,30,0.9975409963095507,568,0.9975404676762527,130,0.9975437875929487,106
31,31,0.9975418648164014,103,0.9975424161720642,98,0.9975424952564321,167
32,32,0.9975409634323292,81,0.997542399494165,64,0.9975441314874675,64
33,33,0.9975427433140769,119,0.9975439187085031,45,0.9975400688781981,34
34,34,0.9975441165821322,451,0.9975411930894276,131,0.997543293826044,58
35,35,0.9975435012196165,110,0.9975405266146335,108,0.9975413005476244,196
36,36,0.9975440930454014,215,0.997543934955875,90,0.9975405064109624,98
37,37,0.9975439311803551,71,0.9975402564175839,42,0.9975441403259092,85
38,38,0.9975435503152479,110,0.9975431043304008,189,0.9975420693879817,73
39,39,0.9975431817582256,151,0.9975430430902159,177,0.9975431364132332,60
40,40,0.9975439813922785,212,0.9975434808513355,67,0.9975440891963094,122
41,41,0.9975441112555377,174,0.9975422922281983,80,0.9975418904537486,63
42,42,0.9975439687146429,136,0.9975441263566884,235,0.997543472545241,167
43,43,0.9975424037977356,101,0.9975435096845113,61,0.9975430091635356,69
44,44,0.9975401126354266,108,0.9975439785610489,160,0.9975441230908246,92
45,45,0.9975441417446416,91,0.9975441321664351,80,0.997544066236107,112
46,46,0.9975427846474576,184,0.9975441388149169,118,0.997540647178617,70
47,47,0.997542272030531,178,0.9975424245906139,91,0.9975423284306348,112
48,48,0.9975439910864641,141,0.9975408596358615,86,0.9975404277142457,170
49,49,0.9975406081698507,107,0.9975427357010462,46,0.9975422167357488,77
