,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0.9975439718376304,2273,0.9975439678680167,952,0.9975435155448051,804
1,1,0.9975394131856361,4000,0.9975417197456072,1933,0.9975419792582415,3467
2,2,0.9975416999590463,1481,0.9975438131950676,3645,0.9975433365449008,882
3,3,0.9975426653837545,3936,0.9975408168087292,1572,0.997540744333518,3430
4,4,0.9975440369584685,1152,0.9975436921746234,3209,0.9975438970897308,1568
5,5,0.9975440734392838,1804,0.9975441407787039,1858,0.9975435151031236,1074
6,6,0.9975432712125819,1535,0.9975429902385962,2333,0.9975419890892702,679
7,7,0.9975421612492208,1304,0.9975432528416479,794,0.9975437295935633,3733
8,8,0.9975401849817014,1821,0.9975433059359196,104,0.9975421045785722,490
9,9,0.99754148180651,460,0.9975431261145487,594,0.997544072541981,2777
10,10,0.9975410615300644,1064,0.9975439183478538,645,0.9975429687165607,755
11,11,0.9975417044897998,998,0.9975440166513854,1027,0.9975436320359241,2744
12,12,0.9975253471925114,4000,0.997544053498773,1629,0.9975440557320283,786
13,13,0.9975436763457517,2400,0.9975423822327635,1187,0.9975440291556874,3220
14,14,0.9975420277226816,1062,0.9975430597334463,1261,0.9975440428002744,3292
15,15,0.9975420994800726,2959,0.9975426980990509,735,0.997544137494183,1519
16,16,0.9975427988593859,928,0.9975420837303708,1012,0.997531090425131,4000
17,17,0.9975434523722682,3188,0.9975437055406889,3250,0.9975441293605459,3431
18,18,0.99754225132269,3559,0.9975419081756385,497,0.9975441244316623,3620
19,19,0.9975435909288555,1772,0.997543903844935,1217,0.9975423997280564,2289
20,20,0.9975436912599782,1839,0.9975418654504978,245,0.9975438464975863,1429
21,21,0.9975426162412173,2560,0.9975440636851483,1883,0.9975432667089775,814
22,22,0.9975441284657416,1089,0.9975348280752014,4000,0.997543634975153,582
23,23,0.9975422493084573,3684,0.9975371203412403,4000,0.9975434908517404,1109
24,24,0.9975426541847493,2160,0.9975439074601269,729,0.9975441416389528,610
25,25,0.9975416123162666,1702,0.9975434693106555,466,0.9975426124517812,2183
26,26,0.9975439835715325,917,0.9975439677768049,1769,0.9975440872259346,1700
27,27,0.9975441032226815,2964,0.9975441411986665,3122,0.9975440314005259,2014
28,28,0.9975401852156807,1826,0.9975441250343312,2823,0.9975441401781381,680
29,29,0.9975432259338908,749,0.9975422464165196,731,0.9975441413678658,1157
30,30,0.9975436271950534,1614,0.9975415293900383,445,0.9975441395246721,1620
31,31,0.9975441026189482,2769,0.9975404082501045,1504,0.9975439857699369,2171
32,32,0.9975436972900011,2633,0.9975428601638907,3120,0.9975436673090459,484
33,33,0.997527028645459,4000,0.9975263596965924,4000,0.997544089208579,433
34,34,0.99754414148323,1309,0.9975423590929617,1820,0.997543927198859,243
35,35,0.9975405555282723,1189,0.9975439515654572,1495,0.9975437494665442,860
36,36,0.9975432537213709,1635,0.9975428804322932,1089,0.9975439884190853,1312
37,37,0.9975424050103927,2104,0.9975427751005601,1318,0.997541496644099,1427
38,38,0.9975401174905973,1569,0.9975432997767308,1030,0.9975437690915134,981
39,39,0.9975434250625574,3436,0.9975441418284959,1301,0.9975409046406909,950
40,40,0.9975437006861907,1599,0.9975441345172373,532,0.9975419629926385,867
41,41,0.9975439198237769,1528,0.9975440862730762,465,0.9975427114312581,535
42,42,0.9975404378340152,2668,0.9975411118429582,1667,0.9975441289897333,3630
43,43,0.9975422039819515,1750,0.9975440667847975,487,0.9975431962240355,799
44,44,0.9975414583374829,1913,0.9975400275531059,2966,0.9975412521165588,2465
45,45,0.9975410317720388,1393,0.9975434575513829,3794,0.9975408353979665,427
46,46,0.9975440465960865,2807,0.9975401245002493,1541,0.9975430806984842,2728
47,47,0.99754399741775,1880,0.9975426611704645,2455,0.9975436959309296,2432
48,48,0.9975438078849332,326,0.9975440795729226,3149,0.9975434757183297,1480
49,49,0.9975439635558285,1499,0.997541176412329,579,0.9975415879849296,1043
