,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0.9975405853971062,66,0.9975441388667176,68,0.9975416574124909,43
1,1,0.9975440347110687,115,0.9975407765062363,97,0.9975440459506941,48
2,2,0.9975414554895223,97,0.9975438732145452,72,0.9975435561905508,61
3,3,0.9975437229479216,72,0.9975436498634536,112,0.9975406412987674,98
4,4,0.997544097967416,78,0.9975428249870033,35,0.9975420672417757,72
5,5,0.9975434062726541,172,0.9975419170895063,89,0.9975429155753396,83
6,6,0.9975426430734562,79,0.9975434307521654,98,0.9975436828150455,33
7,7,0.9975439408813301,88,0.9975438333087856,62,0.9975424330802589,140
8,8,0.9975441321441396,98,0.997543852982379,49,0.997544033898865,36
9,9,0.9975401008757581,48,0.9975433976022732,61,0.9975436197396399,103
10,10,0.9975429555787308,74,0.9975434800634051,40,0.9975406405202887,81
11,11,0.9975440997937689,89,0.9975440240011686,54,0.9975423703769349,148
12,12,0.9975412447483614,224,0.9975416013629135,109,0.9975422059578092,59
13,13,0.9975432433775155,66,0.9975433550864299,41,0.9975423530563388,57
14,14,0.9975412706028512,322,0.9975427194322959,39,0.997543403913668,74
15,15,0.9975426378600154,42,0.9975439707836844,88,0.9975425530510832,146
16,16,0.9975441395862983,97,0.9975408865429805,46,0.997543300397496,98
17,17,0.9975404206640228,134,0.9975409299974605,67,0.9975440219944541,36
18,18,0.9975438283565742,113,0.9975441025834855,38,0.9975439054351881,82
19,19,0.9975404814913162,209,0.9975433120224668,75,0.9975432230643495,66
20,20,0.9975422341914558,68,0.9975436069225287,87,0.9975438362775695,118
21,21,0.9975437049862883,206,0.9975438402307842,44,0.9975430970400078,59
22,22,0.9975414462666965,80,0.9975410871187503,55,0.997542120619458,258
23,23,0.9975409588921417,91,0.9975440145556329,87,0.9975428205943762,69
24,24,0.99754069845999,89,0.997541957363528,120,0.997541802512163,151
25,25,0.9975411439833726,156,0.9975434661226951,51,0.9975430173412033,47
26,26,0.9975425621805474,117,0.9975418201060122,106,0.9975407163501071,50
27,27,0.9975409168695026,120,0.99754152650672,45,0.9975441338609647,62
28,28,0.9975401921167101,135,0.9975423973989856,63,0.9975440551806867,39
29,29,0.997540334521995,77,0.9975421696418164,168,0.9975440460306675,50
30,30,0.9975429396261459,128,0.9975438334350867,80,0.9975420988734671,85
31,31,0.9975418371414457,132,0.9975435830930163,44,0.9975434573685407,50
32,32,0.9975439378844086,83,0.9975416577802965,92,0.9975416820420648,49
33,33,0.9975430377139258,134,0.9975403534388663,65,0.9975400692851784,58
34,34,0.9975426538965223,119,0.9975428967711201,155,0.9975434524566569,56
35,35,0.9975408638414216,107,0.9975401394592418,37,0.9975400598740536,106
36,36,0.9975408245256242,190,0.9975440687225077,98,0.9975420138396388,98
37,37,0.9975413182760715,155,0.9975440847467705,87,0.9975434750880163,36
38,38,0.9975439252838011,181,0.9975400351875481,30,0.9975439893472536,49
39,39,0.9975419177504233,205,0.9975441417761499,103,0.9975423849923406,62
40,40,0.9975436759846197,60,0.9975418812862755,85,0.9975414675891727,62
41,41,0.997543381102201,68,0.9975441119431321,107,0.9975418954069859,37
42,42,0.9975417230128811,104,0.9975432575600192,47,0.9975438949751474,56
43,43,0.9975434428931287,120,0.997544062133553,109,0.9975435494581015,69
44,44,0.997544139237305,119,0.9975413153680266,31,0.9975400192898523,59
45,45,0.9975400006850701,159,0.9975437098548282,39,0.9975438719294829,101
46,46,0.9975422164507965,200,0.9975438164931257,93,0.9975437713407169,69
47,47,0.9975409352981459,128,0.9975406698357654,76,0.9975440181715955,34
48,48,0.9975437860047673,84,0.9975435098917138,86,0.9975424714642601,80
49,49,0.9975435377095929,87,0.9975405603858589,118,0.9975414908513613,95
