,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0.997541529681767,1364,0.9975406710730318,1844,0.9975441415706814,1524
1,1,0.9975350458345991,4000,0.9975400936531085,1364,0.9974737935053943,4000
2,2,0.9975439558554087,1360,0.9975435926723802,1330,0.9975438853389602,1792
3,3,0.9975419190273387,3265,0.9975434537021789,3423,0.9975409732194989,1280
4,4,0.9975435657324663,1508,0.9975380619666518,4000,0.9975369196094688,4000
5,5,0.997543244461043,1738,0.9975407963352121,2978,0.9975424420863708,1034
6,6,0.9975172579584745,4000,0.9975436219178224,2383,0.9975409693081125,2990
7,7,0.9975418966186287,3555,0.9975441323308698,2409,0.9975412277631059,2035
8,8,0.9975395349462906,4000,0.9975440625607152,1195,0.9975427477402892,2788
9,9,0.9975413447720047,2205,0.9975401466918239,2139,0.9975427694392314,2770
10,10,0.997537526679795,4000,0.9975379904451975,4000,0.997541346534497,2388
11,11,0.9975437351479428,2841,0.997543766049471,978,0.9975437877983024,1767
12,12,0.9975434207770377,3318,0.997543783556619,1361,0.9975435913908803,1279
13,13,0.9975419547509545,465,0.9975438550616963,3015,0.9975440575658474,3360
14,14,0.9975441406180654,1094,0.9975430726529393,1007,0.9975438501697724,2391
15,15,0.9975332520001916,4000,0.9975437879390316,2056,0.9975390724120173,4000
16,16,0.9975277828102609,4000,0.9975439927120915,2210,0.9975436202131038,787
17,17,0.9975360675743545,4000,0.9975325679794804,4000,0.9975411840354271,2637
18,18,0.9975331973311271,4000,0.997538327565409,4000,0.9975433401263242,2223
19,19,0.9975356790857123,4000,0.9975439778774171,1525,0.9975348840219831,4000
20,20,0.9975405784589935,705,0.9975409512073865,1232,0.9975355137423894,4000
21,21,0.9974367266816664,4000,0.997534523359765,4000,0.9975406342887312,3151
22,22,0.9975402191717433,1330,0.9975417044878135,1573,0.9975437034473478,904
23,23,0.9975435328278706,2090,0.9975389317280238,4000,0.9975435701396058,1207
24,24,0.9975435462682828,1273,0.9975437092476016,3101,0.9975422735780718,2928
25,25,0.997532740584856,4000,0.997543921222651,805,0.9975435288749304,3035
26,26,0.9975196597394567,4000,0.9975415583033622,3185,0.9975405101335229,1493
27,27,0.9975405490344015,2338,0.9975437042834501,1858,0.9975234741595926,4000
28,28,0.9975412665660767,1315,0.99754229135667,1901,0.9975441303185689,2353
29,29,0.9975258223625375,4000,0.9975296589589766,4000,0.9975441411041218,366
30,30,0.997540134273402,1323,0.9975440800866255,2627,0.9975438380001639,470
31,31,0.9974573729013989,4000,0.9975425591541758,1511,0.9975367489616176,4000
32,32,0.9975400132970493,1739,0.9975434321831456,3452,0.9975401245488742,190
33,33,0.9975406061265999,3239,0.9975439493778644,1112,0.9975436822861705,3606
34,34,0.9975439269395951,3701,0.9975441245830466,3823,0.9975425973985315,2698
35,35,0.9975440687426826,3249,0.9975435165286811,3471,0.9975408122980682,2655
36,36,0.997518747138263,4000,0.9975394119316283,4000,0.9975408725878057,3517
37,37,0.9975401698914359,3288,0.9975435100140508,2287,0.9975440640322107,2260
38,38,0.997540304573455,1175,0.9975440957688866,2220,0.9975338321387753,4000
39,39,0.99752351700152,4000,0.997541964832646,1076,0.9975441239920613,1247
40,40,0.997534847882555,4000,0.9975400797133769,2050,0.9975057554911588,4000
41,41,0.9975424322478295,1789,0.9975422715556534,2923,0.997543067411067,3910
42,42,0.9975273863084271,4000,0.9975407977047346,520,0.9975432282589236,2751
43,43,0.997543555539075,2730,0.9975440240406652,1451,0.9975441398770409,2119
44,44,0.9975425588608059,1012,0.9975415113875307,2067,0.9975407395577762,2676
45,45,0.9975438758293771,1609,0.9975438235718612,3630,0.9975440715051763,2151
46,46,0.9975379728443707,4000,0.997543785598727,1590,0.9975355894473701,4000
47,47,0.9975310802103208,4000,0.9975431478331382,693,0.9975427484832884,3846
48,48,0.9975312087457604,4000,0.9975441315261122,2234,0.9975174226252885,4000
49,49,0.9975414119288927,2980,0.9975313813774358,4000,0.9975424945024272,1071
