,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0.997543282786153,1360,0.9975426299488945,528,0.9975420779333897,2535
1,1,0.9975422902541901,940,0.9975438659365731,803,0.9975427060232549,1300
2,2,0.9975441239021594,1743,0.9975428037873783,1706,0.9975434660248903,513
3,3,0.9975441278970179,1479,0.9975426118700444,1857,0.9975417708308341,3984
4,4,0.9975413119043498,2927,0.9975420484433437,526,0.9975412595399156,673
5,5,0.9975411397941484,1805,0.9975417427859599,765,0.9975424324519628,2360
6,6,0.9975395325097451,4000,0.9975406586128441,3201,0.99754022659897,576
7,7,0.9975440043272638,1370,0.9975362596996562,4000,0.9975421853823984,759
8,8,0.9975440440748045,1371,0.9975427580760357,1114,0.9975433187025807,2751
9,9,0.9975406652833202,452,0.997543907948075,3371,0.9975243590473897,4000
10,10,0.9975440945806093,2301,0.9975433598905075,1350,0.9975419360857012,2391
11,11,0.9975429893339953,2688,0.9975438225074669,433,0.9975432831389346,499
12,12,0.9975430166446229,1759,0.9975440631110417,829,0.9975441214083076,1084
13,13,0.9975400569926751,1439,0.9975438568612967,1580,0.9975421431214857,951
14,14,0.9975436388862202,1760,0.9975424550968413,799,0.9975426532204064,472
15,15,0.9975433703882327,3060,0.9975415294815234,1096,0.9975424318728753,290
16,16,0.9975438988209336,298,0.9975420810811959,1693,0.9975429989882512,1474
17,17,0.997543984618014,1294,0.9975420595607497,1370,0.9975416712934122,1456
18,18,0.9975435944292825,3456,0.99754281426193,1425,0.9975438372595644,1298
19,19,0.997542446700004,1629,0.9975440337842314,939,0.9975440792341168,2605
20,20,0.9975421300833455,834,0.9975417995301754,966,0.997544125331951,908
21,21,0.997544052868633,3720,0.9975421781484182,1043,0.9975437927941366,3305
22,22,0.997540261833201,721,0.9975406663141737,1393,0.9975427303201445,1409
23,23,0.9975440202326599,1375,0.9975423833025145,2181,0.9975437932271398,471
24,24,0.9975411619407816,1435,0.9975408103394829,1823,0.9975437351235426,1069
25,25,0.9975436283096031,2175,0.9975414237961848,339,0.9975435631235496,481
26,26,0.9975422116496147,2369,0.9975439087915885,591,0.9975411186304941,1922
27,27,0.9975404195842259,1050,0.997542974714655,1256,0.9975407057084119,1989
28,28,0.9975411433966364,2702,0.9975438633946629,1370,0.9975438471490781,1285
29,29,0.9975433823324216,1313,0.9975423462537427,492,0.9975408704562141,1480
30,30,0.9975439385717679,2954,0.997542396239929,626,0.9975435498491911,2264
31,31,0.9975429687330586,885,0.997543209566037,2951,0.9975441235394582,119
32,32,0.9975440793228576,140,0.9975419563446182,74,0.9975430056940353,786
33,33,0.9975441230289277,1466,0.9975419716079283,990,0.9975425490890821,2975
34,34,0.9975441408599518,1244,0.9975412355617532,2411,0.9975412976394276,2107
35,35,0.9975437033344177,1049,0.9975441085663181,901,0.9975416940395583,616
36,36,0.9975415299109016,3336,0.9975410363526036,497,0.997543373984546,1133
37,37,0.9975406101593787,1485,0.9975367313009489,4000,0.9975400468220971,518
38,38,0.9975432232342574,1418,0.997540214429162,552,0.9975441301373731,804
39,39,0.9975431334974021,1732,0.997543322824828,895,0.9975405220007172,1447
40,40,0.997543442166223,2272,0.997540166536866,1144,0.9975411856652309,461
41,41,0.9975440591347933,790,0.9975438753473973,3156,0.9975406240970568,2376
42,42,0.9975436995752252,786,0.9975409824167079,569,0.9975440593296978,2269
43,43,0.9975362795159315,4000,0.9975433228653829,939,0.9975437666913104,1111
44,44,0.9975441328877902,1218,0.9975425839037024,1558,0.9975397841553972,4000
45,45,0.9975440395168397,1114,0.9975440209607424,519,0.9975411354104047,418
46,46,0.9975441354110572,2738,0.9975440016547024,1309,0.9975439063466109,415
47,47,0.99754013791695,1093,0.9975440690272814,1065,0.9975437748284316,939
48,48,0.9975404165040495,2251,0.9975441408743777,1281,0.9975431450921551,602
49,49,0.9975436513232216,1134,0.9975411612176888,2714,0.9975440457058596,974
